"page","date","transaction","pounds ","shillings","pence","contemp notes","comments"
,,,4,2,,,
,,"By 30 Cord Wood L 7""10""",3,8,,,"this amount is a credit"
,,"----",,,,,
,,"Little George Dr.",,,,,
,"July 17","balance of a Hat",1,9,3,,
,1811,,,,,,
,"Jany 17th","1 Shawl",,5,,,
,,,,,,,
,,"Frank Kinnon Dr.",,,,,
,"Aug 27","1/2 Gallon Molasses",,6,3,,
,"Nov 7","1 * Sugar 2/",,2,,,
,"""","2 * Sugar",,4,,,
,1810,"1 1/2 yds [Silk? Chucks?] 15/-",,15,,,"1810 might apply to ""March"" entry below"
,,"----",,,,,
,"March","1 quart Molasses",,3,6,,
,,"Settled",,,,,
"page 7",,,,,,,
,1792,,,,,,
,"August 21","Grant, William Dr. PP Self L",,16,,,"previous use"
,""" ""","Gilbert William Dr. PP Brother",,18,,,"previous use"
,""" ""","Gee Ms. Tabitha Dr. PP Self",,5,6,,"previous use"
,1798,,,,,,"previous use"
,"pd Decr. 3","Garner John Pd Dr. PP Self","paid",18,6,"pd","previous use"
,1799,,,,,,"previous use"
,"June 2 X","Goodloe John X Dr. PP Self",3,8,9,,"note ""x""s associated with this entry, previous use"
,""" ""","Golley[sher?] James Dr. Pp Self",,6,,,"previous use"
,"Recd. 40/ 24 pd","Gouge pd William pd Dr. PP Self Paid",2,8,"pd",,"previous use"
,"Augt. 4","Green Elijah Dr. PP Self",2,1,9,,"previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
,1808,"Webbs Moses Dr.",,,,,
,"July 24","1 Shirt pattern [dc?] 27/6",1,7,6,,
,"Augt. 21","By cash inpart",1,6,6,,
,,,"----","----","----",,
,,,,1,0,,
,""" ""","1 case Knives & forks 11/6",,11,6,,
,,,"----","----","----",,
,,,,12,6,,
,"Dec. 24","By Cash inpt",,11,6,,
,,,"----","----","----",,
,,"Settled due",,1,,,
,"-----","-----","-----","-----","-----",,
,,"Demsey Dr.",,,,,
,""" 28","1 Vest Shape & Trimings",,11,,,
,""" 31","1 Muslin Handkf",,10,,,
,,"[Lost or Cash or Last?]",,,,,
"page 8",,,,,,,
,1792,,,,,,
,"January 11","Harris David Dr. PP Self L",,10,,,"previous use"
,1799,,,,,,
,"March 3","Holloway Major Dr. PP Self pd",2,5,6,,"previous use"
,"Octr. 24th","Horton William Dr. PP Self pd",,3,"pd",,"previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
,1808,"Jones's Will Dr.",,,,,
,"Octo 22","1 Hat 17/6 1 [Crewel?] [obra?] 4/6",1,2,,,
,1809,"due on old accot",,1,3,,
,"Octo 27","1 Hank Silk 1/3",,1,3,,
,"----",,,,,,
,1808,"Walker's Davy Dr.",,,,,
,,"balance of old accot",,,9,,
,"Dec 27","1 Printed Shawl 10/-",,10,,,
,1809,,,,,,
,"Feby","By Pr. Shoes Cr",,10,8,,"may be 9 pence, as no balance follows"
,,,,"----","----",,
,"""","Pr. Stockings 15/ Hat 20/-",1,15,,,
,"June 25th","1 Woman's Hat 40/-",2,,,,
,1810,"By Cash inpart Cr.",,"10/-",,,
,,,,,,,
,"[July?]","To [?] & [Bills?]","[illegible]","[illegible]","[illegible]",,
,"[March?]","[quart Whisky?]",,"[illegible]",,,
,,,"cr",,,,
,,"By Shoe Making & mending ",,,,"16/6...L 3/15...L 1.6.6...5...L 1.11.6","this is the order in which the numbers are written, only the last few seem to add up"
,,"By work for R B Esther Monday",,,,,
,,"carried forward",,,,,
"page 9",,,,,,,
,1799,,,,,,
,"Augt. 4","pd Jackson James pd Dr. PP Self L pd",2,15,,,
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
,1808,"Webbs Moses Dr.",,,,,
,"Dec 27","1 Printed Shawl 10/",,10,,,
,1809,,,,,,
,"Jany. 23","6 yds Calico",2,2,6,,
,,,2,12,6,,
,"March 26","By Cash inpt",1,11,,,
,,,1,1,6,,
,""" ""","1 Iron Pot 14/",,14,6,,
,,,1,16,,,
,"May 7","By Cash",,19,,,
,,,,17,,"paid",
,"April","1 quart Whisky 3/",,3,,,
,"Octor","Paper Pin's 4/",,4,,"paid",
,"Decr, 14","1 Dutch Oven",,19,,"[10 paid?]",
,,,,,,,
,,"Lewis Dr.",,,,,
,"Novr. 8th","1 Knife 4/-",,,,,
,,,,,,,
,,"Big [Jim? Sam?] Dr.",,,,,
,,"1 qt Whiskey 3/",,3,,,
,,"2 qts ditto 6/",,6,,,
,"April","5 qts ditto 15/ 1 qt Whis 3/6",,18,6,,
,29,"1 qt Whiskey 3/6 L",,3,6,,
"page 10",,,,,,,
,1799,,,,,,
,"October 24","Kennon Charles Dr. PP Self pd",11,19,4,"pd","previous use"
,,"3 * Sugar [?] 1 [?] yds Chek 15/-",,,,,"previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
,,"Davie / Eno /",,,,,
,,"To 2 lb Sugar 2/6",,5,,,
,,""" 1 qt Whiskey 3/6",,3,6,,
,1809,""" 1 Skeine Silk",,1,3,,
,"Sepr. 17","5 yds Calico 6/6",1,12,6,,"likely all of the preceding entries are for sept 17 1809, next set is in new hand"
,1810,,,,,,
,"March","2 quarts Whisky 6/ pd Phill 1/",,7,,,
,,"bal in hand [?] 2/ Pd Tom 3/",,5,,,
,,,2,18,3,,"1/ to Phill and 3/ to Tom are included in this total"
,"----","----","----","----","----","----",
,,"Charles (Slave to D . [Goodthe?])",,,,,
,,"1 Fine Hat 60/- 3 1/2 yds [Durants?] 17/6",3,12,6,,"Textiles in America, FM Montgomery: durant or durance, glazed worsted of plain weave, finer than tammy...used mainly for gentleman's clothes lined with shaloon...p 229ff"
,,"3 qts Whiskey [illegible] 1 xcut file 2/6",,11,6,,"corrections hard to read"
,,,4,4,0,,
,,"[Cse?] By Cash 15/-",,,,,
,,,3,9,0,,
,,"----","----","----","----","----",
,,"Solomon (Slave to D. [Goodloe?])",,,,,
,,"1 quart Whiskey 3/",,3,,,
,,"1 Ditto Ditto",,3,,,
,,"1 ditto ditto",,3,,,
,,"1 Handkf",,10,,,
,"carried","1 Knife",,5,,,
,"forward","1 [Chest?] lock",,3,6,,
,,"cash to him",,4,,,
"page 11",,,,,,,
,1798,,,,,,
,"April 9","Leathers Fielding Dr. PP Self L",1,14,,,"previous use"
,"Novr. 26","Lingo William pd Dr. PP Self pd",2,6,6,"paid","previous use"
,"Decr. 3","Leathers John Dr. PP Self",,7,6,,"previous use"
,"paid","Laws Thomas Dr. Self",,3,6,"paid","previous use"
,"paid","Lewis William Dr. PP Self",,2,,,"previous use"
,1799,,,,,,"previous use"
,"June 24","Landers George Dr. PP Self pd",,5,,"pd","previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"p Contra Cr.",,,,,
,1808,"By 100 [lb?] [?] Tob.o",1,10,,,
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Negro Charles of D. Goodloe",,,,,
,,"Balance brot. Forward L",3,9,,,
,,"1 pr. Shoes 17/6 1 Barc. Handkf. 15/",1,12,6,,
,,"2 1/2 yds Blue Cloth 22/6",1,2,6,,
,,"6 Sugar 12/ 1 pr Shoes 15/",1,7,,,
,,"[Moses pd carried & brittan?] 20/",1,,,,
,,"ditto pd [amous?]",,1,3,,
,,"L ",8,12,3,,
,,"cr",,,,,
,,"By his part of canoe L3",,,,,
,,"By work done [PP?] Bill }",,,,,
,,"[remained?]                   } 4.4",,,,,
,,"L 7.4",,,,,
,,"charges due L",7,4,,,
,,,1,8,3,,
,,"paid Jim",,10,,,
,,"carrd forward L",1,18,3,,
"page 12",,,,,,,
,1792,,,,,,
,"August","Murrow James Dr. PP Self L",,7,9,,"previous use"
,"""","Mulhollon Thomas Dr. PP Self",4,3,6,,"previous use"
,1799,,,,,,"previous use"
,"Augt. 4th","Moore Benjamin Dr. PP Self pd.",,16,9,,"previous use"
,"Octr. 24th","Mize Zachriah Dr. PP Self pd.",,12,6,,"previous use"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Old Carolina Dr.",,,,,
,1810,"1/4 [eu] Ginger 1/3 1 Thimble 1/3",,2,6,,
,,"1 [u] Sugar 2/ pd old Lewis 4/",,6,,,
,,"2 quarts whisky",,7,,,
,"May","1 paper pins 4/ 1 Knife 4/",,8,,,
,,"1 [u] Sugar 2/. 1 qt Whisky 3/6",,5,6,,
,"July","1 checkd. Handkf",,3,0,,
,19,"1 Ditto for Humphfrey",0,3,0,,
,25,"1 Shawl 10/ 1 Handkf 4/6",,14,6,,
,,"1 [u] Sugar 2/- pd Donom 5/-",,7,,,
,,"carried forward",2,16,6,,
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Solomon (a Slave to Goodloe)",,,,,
,1810,"Amount brought forward",1,11,6,,
,"March","3 [u] Sugar",,6,,,
,"April","2 [u] Ditto",,4,,,
,"--- 21","1 qut Whisky",,3,6,,
,""" ""","1 Decanter 6/ 1 Tumbler 2/",,8,,,
,,"1 Handkf",,7,,,
,,,"----","----","----",,
,,,3,,,,
,,"Cr  L",,,,,
,,"By work done for the }",,,,,
,,"Bennehan [pr accot] rendered}",3,,,,
"page 13",,,,,,,
,1810,"Negro Jeremiah Dr.",,,,,
,"Febry 26","1 doz G Buttons",,5,,,
,,"2 Skeins Silk",,2,6,,
,"March","1 quart Whisky",,3,,,
,5,"1 Ditto Ditto",,3,,,
,"April","1 Do. Do. [for?] wife",,3,,,
,,"1/2 yd Brown Holland",,3,9,,
,,,"----","----","----",,
,,,1,0,3,,
,,"Cr L",,,,,
,,"by one days work Easther",,5,,,
,"Carrd forwd",,,15,3,,
,,"1 quart whisky",,3,,,
,,"1 quart Ditto",,3,6,,
,,,"----","----","----",,
,,,1,1,9,,
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,1810,"Humphrey Little river Dr.",,,,,
,"2 u Sugar","2 u Sugar 4/",,4,,,
,"March","2 quarts Whisky",,6,,,
,,"1 quart Do.",,3,6,,
,"May","2 quarts Do.",,7,,,
,"July 25","1 Thimble 1/6",,1,6,,
,,"2 qts Whisky 7/- 1 Lock 3/6",,10,6,,
,,,"----","----","----",,
,,,1,12,6,,
,,"Cr By 16 cord of Wood 5/ L",4,,,,
,,"By balance acc Transferd L",2,7,6,,
,"--------------------","--------------------","--------------------","--------------------","--------------------",,
,1810,"Lattas Demse Dr Demse",,,,,
,"April","1 Pint Whisky",,1,6,,
,"June 2","3 Yds Cambrick at 12/6",1,17,6,,
,0,"1 pr womens Stockings",,15,,,
,,"1 [pr?] Napkins",,15,,,
,"June","2 Skeins Thread 1/ 2 u Sugar 4/",,5,,,
,,,"----","----","----",,
,,"carried forward L",3,14,,,
"page 14",,,,,,,
,1810,"Distiller Jim Dr.",,,,,"stopped here for listing subjects/categories"
,"June","2 Pint Whisky",,3,6,,
,"July 4","1 ditto ditto",,1,9,,
,,"1 ditto ditto",,1,9,,
,"Novemr","1 chest lock 3/ 1 pr chest Hinges",,5,6,,
,"Decemr","1 Pocket Knife for Wm Coller",,4,,,
,"May","1 pr Shoes 15/- acc L",,16,6,,
,,,,15,,,
,,,1,11,6,,
,1810,"Tom (Eno) Dr.",,,,,
,"April","5 1/2 yds. Calico at 7/6",2,1,3,,
,,"1 quart Whisky",,3,,,
,,"part [in?] handkf",,3,6,,
,,"1 paper Pins",,4,,,
,,,"----","----","----",,
,,,2,11,9,,
,,"Cr",,,,,
,,"By Cutting 15 Cord }",3,15,,,
,,"of Wood at 5 }",,,,,
,,"To bal on Sugar",,1,,,
,"May","1 wool Hat",,17,6,,
,,"1 Set marbles",,1,,,
,,"2 u Sugar 4/-",,4,,,
,,"1 doz buttons",,3,,,
,,"1 Pocket Knife",,4,,,
,,,"----","----","----",,
,,"Tom due B [?]",,7,3,,
,"Decemr","1 Dutch Oven ([5 cords?]}",,16,,,
"page 15",,,,,,,
,1792,,,,,,
,"Jany 11","Persons Henry Dr. PP Self L",,4,,,
,"Aug 20?","pd Parker pd James Dr. PP J? Green pd paid",,11,,"pd",
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,1810,"Solomon (of Goodlows) Dr.",,,,,
,"May","To Balance PP Settlement",,18,6,,
,"June","1 yd ribbon",,5,,,
,,"1 Pint Whisky 1/9 1 * Sugar 2/",,3,9,,
,"July 4","1 ditto ditto 1/9",,1,9,,
,,"[Part?] of a [pr?] [Shoes?] 10/",,,,,"especially well obliterated, different hand"
,"Sept","1 * Sugar for curry",,2,,,
,,"paid Wilks",,10,,,
,,"1 pr Knitting pins",,1,,,
,"card forwd",,2,2,,,
,,"Walker's Davie",,,,,
,1810,"To Amot [Say?] bal brot forwd",2,3,6,,
,"April","1/2 doz all blades [gd?]",,,9,,
,"May 13","1 u Sugar 2/1 1 Shoe Knife 2/",,4,,,
,"June","1 quart whisky",,3,6,,
,"July 30","1 pr Leather Slippers",,12,6,,
,,"1 u Sugar 2/ bal of Sugar 3/",,5,,,
,,"[Cr?]",3,9,3,,
,,"By half [soaling?] 1 pr Shoes",,1,3,,
,,""" 1 pr Shoes for Sam made",,5,,,
,"[illegible]",""" old [Dard?] Eno [assum?]",,5,,,
,,"[due?] L 2.18 """,,11,3,,
,,"To 1 u Sugar 2/",,2,,,
,,"1 1/4 u Sugar",,2,6,,
,"Febry","1 Tin cup 1/- 1 Sugar 2/",,3,,,
,"April","3 quart Whisky",,10,6,,
,,"1 ditto...ditto...",,3,6,,
,"[Framgerd?]","1 ditto Brandy 4/",,4,,,
,,,1,5,6,,
"loose leaf?",,,,,,,
,,"Walkers David Dr",3,9,3,,"this is recorded on the previous page"
,,"Do",1,5,6,,
,,,4,14,9,,
,,"Cr",,11,3,,
,,"Bal due [Initials?]",4,3,6,,
,,"carried forward -----",,,,,
"page 16",,,,,,,
,1810,"Big Jim Dr",,,,,
,,"To amount forwarded",1,11,,,
,"May 6","1 quart Whisky",,3,6,,
,,"2 Ditto Ditto",,7,,,
,16,"2 u Sugar 4/ - 1u Do 2/",,6,,,
,"June","4 1/2 yds [?ett--overwritten with Bombay?] 8/",1,16,,,
,,"1/2 [?] India cotton",,2,6,,
,,"1 qt Whis 3/6 pd Old Nead",,3,6,,
,,"1 pint Whisky pd Jim",,1,9,,
,"July","4 yds India cotton 3/6",,14,,,
,,"2 u sugar 4/ pr wife",,4,,,
,"carrd forwd","1 u Sugar 2/ 1 chest lock 4/6",,6,6,,
,,,5,15,9,,
,,"Davie (Eno) Dr.",,,,,
,1810,"To amt brot forward",2,18,3,,
,"May","1 u Sugar 2/ 1 qt whisky 3/6",,5,6,,
,,,3,3,9,,
,"brot forwd","By loose Tobacco Cr",1,10,,,
,,"due",1,13,9,,
,,"paid Kennon Frank",,4,9,,
,,"Ginger 1/3 1 Skin Silk 1/3",,2,6,,
,,"600 10 d nails at 3/",,18,,,
,,"1 Pint Whisky",,1,9,,
,"June 15","1 qt Whisky 3/6 pd Sh. Robt. 1/6",,5,,,
,24,"325 10d nails 10/",,10,,,
,"July 6","1 Paste board 1/6",,1,6,,
,,"1 lock 4/6 1 Knife 3/6",,8,,,
,,,4,5,3,,
,,"Cr By cutting 20 cords }",,,,,
,," + coal wood at 5/ }",5,,,,
"page 17",,,,,,,
,1797,,,,,,
,"Novr 6","Richards Teacher at the University",6,15,9,,
,1798,,,,,,
,"Dec 3","Ridance william Dr. P Self","paid",10,3,,
,1799,,,,,,
,"June 21","Roberts Ephraim Dr. P Self","pd","[obscured]","paid",,
,""" 24","Rice Jesse Dr P [J?] Green",1,4,0,,"written""Jefse"""
,"Augt 4","Reeves Jeremiah Dr P Self pd",,10,3,"pd",
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Davie (Eno) Dr",,,,,
,1810,"By balance brought forward ",,14,9,,
,"Augt 22","1 pr shoes 12/6 1 bk silk 1/3",,1,3,,"shoes are completely obliterated, total does not include"
,"Nov","2 pair Shoes 17/6 & 15/",1,12,6,,
,"Decem","1 doz Buttons",,3,6,,
,"Jany","1 Dutch oven",1,11,,,
,,"3 qts whisky 10/6 1 u Sugar 2/",,12,6,,
,"Febry","1 1/2 u Copperas",,2,,,
,,"1 shawl 5/ for Danl [Hell?]",,5,,,
,,"To am card forward",4,7,9,,
,,"Jerry Dr",,,,,
,1810,"Balance brot forard",1,1,9,,
,"May","By 1 Blacking Ball sold",,1,3,,"cake of blacking for polishing, etc.  http://www.british-history.ac.uk/report.aspx?compid=58703"
,,,1,0,6,,
,"June 2","To 1 quart whisky",,3,6,,
,6,"1 14/ u Bees wax",,3,,,"an ingredient in blacking (see above credit)"
,15,"[totally obliterated, does not contribute to total",,,,,
,,"2 Stran Necklace 5/",,5,,,
,,,1,12,0,,
,,"By 1 days work L0-5-",,,,,
,,"By Blacking -15-9",1,,9,,
,,"Balance B [L C?] [Possessed? P element?]",,11,3,,
,,"1 paste board 1/6 1 [obliterated does not contribute to total]",,1,6,,
,"Sept 9","2 u sugar 4/ 1 qt Brandy 3/6",,7,6,,
,,"carried forward ",1,0,8,,"these do not add up"
"page 18",,,,,,,
,1792,,,,,,
,"August","Skidmore Thomas Dr. P [?] Forrest",,3,6,,
,"Jany 11","Smallwood William Dr. P Self",,8,,,
,1798,,,,,,
,"Augt 27","Sockwell Eleven R. P Self paid",,12,,"pd",
,"Novr 26","Smith P John Dr. P Boy",5,12,9,,
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,1810,"Amount brot forward",3,13,,,
,"June 17","By Cash $2",1,,,,
,,,2,13,,,
,,"To 1 quart whisky",,3,6,,
,,"By 10 yds Flax home}",,,,,
,,"spun cloth 5/4 wide",2,10,,,
,,"1 paper pins 4/ 1 pt Rum 2/",,6,,,
,"Sept","2 u Sugar 4/",,4,,,
,"Dec 20","By cash [illegible]",,16,6,,
,,,,16,6,,
,1810,,,,,,
,"Decem 26","3 u Sugar 6/ 1 Handkf 12/",,18,,,
,,"1 pint Brandy",,2,,,
,,"1 Tea Kettle for [?] & Arthur",,5,,"pd 10/","this note is in the leftmost column"
,,"carried forward",1,5,,,
"page 19",,,,,,,
,1799,,,,,,
,"Augt 11 [?]","Taylor pd Joseph pd Dr. PP Self [illegible] pd",2,9,9,"pd",
,""" ""","Turner Elias Jur Dr. PP Self",1,10,,,
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Old Frank Eno Dr.",,,,,
,,"Balance of Hat",,12,,,
,,"1 Handkf 3/ 1/2 u Copperas @ 9",,3,9,,
,"May","2 quarts Whiskey",,7,,,
,"Decemr","1 u Sugar",,2,,,
,,"1 Barrel Corn had in 1810 from the mill }",1,,,,
,,,2,4,9,,
,,"Cr",,,,,
