BK_SOURCE,BK_DEBIT_CREDIT,BK_SOURCE,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_ECONOMIC_UNIT,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_ENTRY,,
"Ledger C, 1790 - 1799: pg.1",Debit,Left,1793,,,To balance brought from Ledger B,36,,£,438,12,6,,,1793,,438,12,6,,,To balance brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.1",,Right,,,,,,,,,,,,,,"Washington, Lund",,,,,,,,
"Ledger C, 1790 - 1799: pg.1",,Right,1789,Mar.,2,By my Bond of this date - for bale due on a final settlement of Accts as pr Ledger B - Page,Folo 315,,£,1220,,,,,2 March 1789,"Washington, Lund",1220,0,0,,,By my Bond of this date - for balance due on a final settlement of Accounts as per Ledger B - Page,,
"Ledger C, 1790 - 1799: pg.1",,Right,1794,July,8,"By Interest on the above Bond which is paid and taken up, & which settles all accounts",,,,258,18,8,,,8 July 1794,"Washington, Lund",258,18,8,,,"By Interest on the above Bond which is paid and taken up, & which settles all accounts",,
"Ledger C, 1790 - 1799: pg.1",Credit,Right,,,,[Total],,,£,1478,18,8,,,,"Washington, Lund",1478,18,8,,,[Total],,
"Ledger C, 1790 - 1799: pg.1",Credit,Right,,,,,,,,,,,,,,"Gildart, James",,,,,,,,
"Ledger C, 1790 - 1799: pg.1",Credit,Right,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.1",Credit,Right,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.1",Credit,Right,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.1",Credit,Right,,,,By the will of Genl Washington,,,£,438,12,6,,,,,438,12,6,,,By the will of General Washington,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,,,,,,,,,,,"Clinton, George",,,,,,,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,1787,June,16,"To Cash at sundry payments, as pr Ledger B, in full discharge of the contra bond, with the Interest due thereon to the date",Folo,,£,1875,,,,,16 June 1787,"Clinton, George",,,,,,"To Cash at sundry payments, as per Ledger B, in full discharge of the contra bond, with the Interest due thereon to the date",,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,"To my moeity of 6053 Acres of Land purchased in partnership with him on the Mohawk River, in Coxburgh. - which said land he was empowerd to sell as a joint concern, & part thereof actually hath been sold as will appear by his letter of the 18th of Decr 1793 - accompanied by an acct, of which the following is an exact copy – viz. -",,,,,,,,,16 June 1787,"Clinton, George",,,,,,"To my moeity of 6053 Acres of Land purchased in partnership with him on the Mohawk River, in Coxburgh. - which said land he was empowered to sell as a joint concern, & part thereof actually hath been sold as will appear by his letter of the 18th of December 1793 - accompanied by an account, of which the following is an exact copy - viz -",,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,Lotts in Coxburgh which belonged to G.W. - & G.C. and have been sold -,,,,,,,,,16 June 1787,"Clinton, George",,,,,,Lots in Coxburgh [Coxeborough] which belonged to George Washington - & George Clinton and have been sold -,,
"Ledger C, 1790 - 1799: pg.2",,Left,1788,May,1,Lot No. 2 in 7th Division 334 acres.To J. Sanger at 10/.,,,£,York Currency 118,10,,,,1 May 1788,"Clinton, George",118,10,,,,Lot No. 2 in 7th Division 334 acres.To Jedediah Sanger at 10/.,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,1789,Febry,20,18 do Ditto 234 [acres] Jno. Tillotson 16/.,,,,187,4,,,,20 February 1789,"Clinton, George",187,4,,,,18 in 7th Division 234 [acres] John Tillotson 16/.,,
"Ledger C, 1790 - 1799: pg.2",,Left,1790,June,1,15 5th Ditto 316 [acres] N. Griffin & othrs do,,,,252,16,,,,1 June 1790,"Clinton, George",252,16,,,,15 5th Division 316 [acres] Nathaniel Griffin & others 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,Ditto,,4 do Ditto 204 [acres] Kellog & Seymour do,,,,163,4,,,,1 June 1790,"Clinton, George",163,4,,,,4 5th Division 204 [acres] Kellog & Seymour 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,Ditto,7,54 do Ditto 204 [acres] Sam Wells do,,,,163,4,,,,7 June 1790,"Clinton, George",163,4,,,,54 5th Division 204 [acres] Samuel Wells 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,Ditto,do,20 do Ditto 204 [acres] Elias Hopkins do,,,,163,4,,,,7 June 1790,"Clinton, George",163,4,,,,20 5th Division 204 [acres] Elias Hopkins 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,Ditto,do,37 do Ditto [acres] 204 David Rigley do,,,,163,4,,,,7 June 1790,"Clinton, George",163,4,0,,,37 5th Division [acres] 204 David Rigley 16,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,Ditto,20,42 do Ditto 204 [acres] Jno. Frisbie do,,,,163,4,,,,20 June 1790,"Clinton, George",163,4,,,,42 5th Division 204 [acres] John Frisbie 16/,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,1791,July,18,7 4th Ditto 193 [acres] Elijah Smith do,,,,154,8,,,,18 July 1791,"Clinton, George",154,8,,,,7 4th Division 193 [acres] Elijah Smith 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,do,2 5th Ditto 358 [acres] Josh Blodget do,,,,286,8,,,,18 July 1791,"Clinton, George",286,8,,,,2 5th Division 358 [acres] Joseph Blodget 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,Octobr,10,68 7th Ditto 234 [acres] Gillet & Graves do,,,,184,,,,,10 October 1791,"Clinton, George",184,,,,,68 7th Division 234 [acres] Gillet & Graves 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,12,87 do Ditto 255 [acres] Barnes & othrs do,,,,204,,,,,12 October 1791,"Clinton, George",204,,,,,87 7th Division 255 [acres] Barnes & others 16/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,25,59 do Ditto 204 [acres] Tuttle & Foote do,,,,163,4,,,,25 October 1791,"Clinton, George",163,4,,,,59 7th Division 204 [acres] Tuttle & Foote 16/,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,30,10 5th Ditto 244 [acres] Jno. Baxter 20/,,,,244,,,,,30 October 1791,"Clinton, George",244,,,,,10 5th Division 244 [acres] John Baxter 20/,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,Decr,28,"91 7th Ditto 244 [acres] Hart, Clark & othrs 16/",,,,192,,,,,28 December 1791,"Clinton, George",192,,,,,"91 7th Division 244 [acres] Hart, Clark & othrs 16/",,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,1792,May,2,3 4th Ditto 152 [acres] Ezra Ball & othrs 24/,,,,182,8,,,,2 May 1792,"Clinton, George",182,8,,,,3 4th Division 152 [acres] Ezra Ball & others 24/,,
"Ledger C, 1790 - 1799: pg.2",,Left,1793,Octob.,9,8 do Ditto 346 [acres] Boyce or Marilal 21/,,,,415,4,,,,9 October 1793,"Clinton, George",415,4,,,,8 4th Division 346 [acres] Boyce or Marilal 21/,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,[Total] 4034 [acres],,,£,3400,2,,,,9 October 1793,"Clinton, George",,,,,,[Total] 4034 [acres],,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,Cash recd by G.C. on the difft Sales - to wit,,,,,,,,,9 October 1793,"Clinton, George",,,,,,Cash received by G.C. on the different Sales - to wit,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,From Jededh Sanger in sevl small paymts,,£104.5.4,,,,,,,9 October 1793,"Clinton, George",104,5,4,,,From Jedediah Sanger in several small payments,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,Thoms Tillotson in ditto - in full,,231.2.6,,,,,,,9 October 1793,"Clinton, George",231,2,6,,,Thomas Tillotson in several small payments - in full,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Nathl Griffin & others,,214.0.1,,,,,,,9 October 1793,"Clinton, George",214,0,1,,,Nathaniel Griffin & others,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,Saml Wells - Do in full,,209.0.9,,,,,,,9 October 1793,"Clinton, George",209,0,9,,,Samuel Wells – in several small payments in full,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,Kellog & Seymour,,154.14.8,,,,,,,9 October 1793,"Clinton, George",154,14,8,,,Kellog & Seymour,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Elias Hopkins - in full,,204.16.8,,,,,,,9 October 1793,"Clinton, George",204,16,8,,,Elias Hopkins - in full,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,David Rigley,,50.14.11,,,,,,,9 October 1793,"Clinton, George",50,14,11,,,David Rigley,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Jno. Frisbie,,8.[0].[0],,,,,,,9 October 1793,"Clinton, George",8,,,,,John Frisbie,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Tuttle & Foote,,8.[0].[0],,,,,,,9 October 1793,"Clinton, George",8,,,,,Tuttle & Foote,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Elijah Smith,,30.7.10,,,,,,,9 October 1793,"Clinton, George",30,7,10,,,Elijah Smith,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Joseph Blodget,,20.8.0,,,,,,,9 October 1793,"Clinton, George",20,8,0,,,Joseph Blodget,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Barnes & Tooly,,12.[0].[0],,,,,,,9 October 1793,"Clinton, George",12,,,,,Barnes & Tooly,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,"Clark, Hart & others",,40.50.1,,,,,,,9 October 1793,"Clinton, George",40,5,1,,,"Clark, Hart & others",,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Hall and  others,,44.5.0,,,,,,,9 October 1793,"Clinton, George",44,5,0,,,Hall and others,,
"Ledger C, 1790 - 1799: pg.2",Debit,Left,,,,Boyce,,140.[0].[0],,,,,,,9 October 1793,"Clinton, George",140,,,,,Boyce,,
"Ledger C, 1790 - 1799: pg.2",,Left,,,,[Total],,1472.0.10 half,,736,0,5,,,,"Clinton, George",,,,,,[Total],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,,,,,,,,,,,"Clinton, George",,,,,,,,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,1790,July,20th,By Cash,Folo,,£,67,19,3 ½,,,20 July 1790,"Clinton, George",67,19,"3,5",,,By Cash,,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,By half of Printers Bills for Deeds Mortgages &ca,,,,4,5,,,,20 July 1790,"Clinton, George",4,5,0,,,By half of Printers Bills for Deeds Mortgages &ca,,
"Ledger C, 1790 - 1799: pg.2",,Right,1793,Decr,18,By a Post note on the Bank of Pennsylvania,,,,663,16,1 ½,,,18 December 1793,"Clinton, George",663,16,"1,5",,,By a Post note on the Bank of Pennsylvania,,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,[Total],,,£,736,0,5,,,,"Clinton, George",736,0,5,,,[Total],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,"N.B. In instances where the whole consideration money has been receivd for a Lot, it will appear by the aforegoing statement, that, it exceeds the price at which such Lot is mentioned to have been sold - It may be proper therefore to mention that this excess is the Interest which has accrued thereon",,,,,,,,,,"Clinton, George",,,,,,"N.B. In instances where the whole consideration money has been receivd for a Lot, it will appear by the aforegoing statement, that, it exceeds the price at which such Lot is mentioned to have been sold - It may be proper therefore to mention that this excess is the Interest which has accrued thereon",,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,Lots unsold – viz. -,,,,,,,,,,"Clinton, George",,,,,,Lots unsold – viz. -,,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,No. 8. in the 1st Divn 105 acs.,,,,,,,,,,"Clinton, George",,,,,,No. 8. in the 1st Division 105 acres,,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,6. Do 3 do 253 [acres],,,,,,,,,,"Clinton, George",,,,,,6. in the 3rd Division 253 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,19 do do do 231 [acres],,,,,,,,,,"Clinton, George",,,,,,19 in the 3rd Division 231 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,22 do do do 231 [acres],,,,,,,,,,"Clinton, George",,,,,,22 in the 3rd Division 231 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,26 do do do 211 [acres],,,,,,,,,,"Clinton, George",,,,,,26 in the 3rd Division 211 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,29 do do do 211 [acres],,,,,,,,,,"Clinton, George",,,,,,29 in the 3rd Division 211 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,3 do do do 253 [acres],,,,,,,,,,"Clinton, George",,,,,,3 in the 3rd Division 253 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,12 Do 7th do 262 [acres],,,,,,,,,,"Clinton, George",,,,,,12 in the 7th Division 262 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,28 do do do 262 [acres],,,,,,,,,,"Clinton, George",,,,,,28 in the 7th Division 262 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,Unsold 2019 [acres],,,,,,,,,,"Clinton, George",,,,,,Unsold 2019 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,Sold 4034 [acres],,,,,,,,,,"Clinton, George",,,,,,Sold 4034 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,,,,[Total] 6053 [acres],,,,,,,,,,"Clinton, George",,,,,,[Total] 6053 [acres],,
"Ledger C, 1790 - 1799: pg.2",Credit,Right,1797,Feby,27,"By Cash recd from you, for my one half of the land sold as pr Contra $2500",27,,,750,,,,,27 February 1797,"Clinton, George",750,0,0,,,"By Cash received from you, for my one half of the land sold as per Contra $2500",,
"Ledger C, 1790 - 1799: pg.3",Debit,Left,,,,,,,,,,,,,,"Washington, Charles",,,,,,,,
"Ledger C, 1790 - 1799: pg.3",Debit,Left,1793,,,To balance brought from Ledger B,75,,£,Cy 10,5,9,,,1793,"Washington, Charles",10,5,9,,,To balance brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.3",Debit,Left,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.3",Debit,Left,1793,,,To balance brought from Ledger B,127,,£,Jamaica Curry 130,3,1,,,1793,,130,3,1,,,To balance brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.3",Debit,Left,,,,,,,,,,,,,,Balfour & Barraud (firm),,,,,,,,
"Ledger C, 1790 - 1799: pg.3",Debit,Left,1793,,,To balance brought from Ledger B,136,,£,1748,17,0,,,1793,Balfour & Barraud (firm),1749,17,0,,,To balance brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.3",Credit,Right,,,,,,,,,,,,,,"Washington, Charles",,,,,,,,
"Ledger C, 1790 - 1799: pg.3",Credit,Right,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.3",Credit,Right,,,,,,,,,,,,,,Balfour & Barraud (firm),,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,1793,,,To balance brought from the acct of the Estate of Jno. Mercer - Ledger B,Folo 221,,£,908,15,11,,,1793,,908,15,11,,,To balance brought from the account of the Estate of John Mercer - Ledger B,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,Apl,1,To Interest on the above from the 31st of May 1791 to this date being 1 Year & 10 mos. at 5p.Ct p. Ann,,,,83,4,9,,,1 April 1793,,83,4,9,,,To Interest on the above from the 31st of May 1791 to this date being 1 Year & 10 months at 5per cent per Annum,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,To Cash pd you in full,,,,97,17,4,,,1 April 1793,,97,17,4,,,To Cash paid you in full,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,[Total],,,£,1089,18,,,,,,1089,18,0,,,[Total],,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,1793,,,"To my Bond gave you, as attornies for John Henry Cazenove & Elias Lindo of London for a Tract of Land, bought by me on four mile Run near Alexandria, in the County of Fairfax Virginia",,,£,450,,,,,1793,,450,0,0,,,"To my Bond gave you, as attornies for John Henry Cazenove & Elias Lindo of London for a Tract of Land, bought by me on four mile Run near Alexandria, in the County of Fairfax Virginia",,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,,,,,,,,,,,"Lear, Tobias",,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,1793,Octo.,10th,To Cash sent you in a letter,,$120.[0],£,36,0,0,,,10 October 1793,"Lear, Tobias",36,0,0,120,0,To Cash sent you in a letter,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,1794,June,11,To ditto paid Jas Greenleaf on your account,,96.10 ct,,28,16,7 ¼,,,11 June 1794,"Lear, Tobias",28,16,"7,25",91,10,To Cash paid James Greenleaf on your account,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,To Discount in prompt payment for a watch you bought in London for Mrs Wn,,Dolls cts 6.88,,,,,,,11 June 1794,"Lear, Tobias",,,,6,88,To Discount in prompt payment for a watch you bought in London for Mrs Washington,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,1795,May,27,To Cash sent you in a Letter,22,960.[0],,,,,,,27 May 1795,"Lear, Tobias",,,,960,0,To Cash sent you in a Letter,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,28,To my Draught on the Bank of Alexandria,[22],"3430,67",,,,,,,28 May 1795,"Lear, Tobias",,,,3430,67,To my Draught on the Bank of Alexandria,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,To Cash paid you by docr Stuart on my acct,,3000.[0],,,,,,,28 May 1795,"Lear, Tobias",,,,3000,0,To Cash paid you by doctor Stuart on my account,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,June,2,"To 7 Hhds Tobacco delivered you by Colo. Deakins, which had been paid him for Rent due me. viz -",,,,,,,,,2 June 1795,"Lear, Tobias",,,,,,"To 7 Hogsheads Tobacco delivered you by Colonel Deakins, which had been paid him for Rent due me. viz -",,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,7143 nett,,,,,,,,,2 June 1795,"Lear, Tobias",,,,,,7143 nett,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,4 p.Cent for Cask 285,,,,,,,,,2 June 1795,"Lear, Tobias",,,,,,4 per Cent for Cask 285,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,7428 at 4 Dolls p.C,,"297,12",,,,,,,2 June 1795,"Lear, Tobias",,,,297,12,7428 at 4 Dollars per cent,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,Octr,5,To Cash paid you at Mount Vernon,23,2000.[0],,,,,,,5 October 1795,"Lear, Tobias",2000,0,23,7000,23,To Cash paid you at Mount Vernon,,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,[Total],,"9694,67",,2908,8,,,,,"Lear, Tobias",2908,8,,9694,67,[Total],,
"Ledger C, 1790 - 1799: pg.4",Debit,Left,,,,Carrd over,,,,2973,4,7 ¼,,,,"Lear, Tobias",2973,4,"7,25",,,Carried over,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,1793,Apl,1,"By a Tract of Land lying in the County of Montgomery State of Maryland, Containing 519 Acres being part of a Tract called Woodstock manor, conveyed to me by yourself & others @ 42/. p. Acre",Folo,,£,1089,18,0,,,1 April 1793,,1089,18,0,,,"By a Tract of Land lying in the County of Montgomery State of Maryland, Containing 519 Acres, being part of a Tract called Woodstock manor, conveyed to me by yourself & others @ 42/. per Acre",,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,,,,,,,,,,,,,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,"See a note under the acct of the Estate of Jno. Mercer in Ledger B Folio 221 By which it appears, that I am exonerated From the payment of the Bond p. Contra",,,,,,,,,,,,,,,,See a note under the account of the Estate of John Mercer in Ledger B Folio 221 By which it appears that I am exonerated From the payment of the Bond per Contra,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,,,,,,,,,,,"Lear, Tobias",,,,,,,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,By balance brought from Ledger B,259,,£,28,14,11 ½,,,,"Lear, Tobias",28,14,"11,5",,,By balance brought from Ledger B,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,1793,Decr,24,By Cash pd for the following articles sent me from Glasgow - viz -,,,,,,,,,24 December 1793,"Lear, Tobias",,,,,,By Cash paid for the following articles sent me from Glasgow - viz -,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,1 ps. Cotton shirting 25 Yd at 3/8,,£4.11.8,,,,,,,24 December 1793,"Lear, Tobias",4,11,8,,,1 piece Cotton shirting 25 Yard at 3/8,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,1 ps. [Cotton] Cambrick 8 Yd 4/9,,1.18.0,,,,,,,24 December 1793,"Lear, Tobias",1,18,0,,,1 piece [Cotton] Cambrick 8 Yard 4/9,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,3 Balason Hkfs 6/9,,1.0.3,,,,,,,24 December 1793,"Lear, Tobias",1,0,3,,,3 Balason Handkerchiefs 6/9,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,3 Book do 7/.,,1.1.0,,,,,,,24 December 1793,"Lear, Tobias",1,1,0,,,3 Book Handkerchiefs 7/.,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,1 ps. 6/4 work'd Muslin 10 Yd 13/,,6.10.0,,,,,,,24 December 1793,"Lear, Tobias",6,10,0,,,1 piece 6/4 worked Muslin 10 Yard 13/,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,1lb Kail seed 1/6 1 lb Furze Do 6/. 1 Doz tumblers 15/,,[0].17.6,,,,,,,24 December 1793,"Lear, Tobias",0,17,6,,,1lb Kale seed 1/6 1 lb Furze seed 6/. 1 Dozen tumblers 15/,,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,[Total],,Stg £15.18.5,£,,,,,,,"Lear, Tobias",15,18,5,,,[Total],,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,[Total],,,,,,,,,,"Lear, Tobias",21,4,4,,,[Total],,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,1794,Feby,13,"By Cash pd for Horizontal Gold Watch for Mrs Washington, with chain, Key &c sent to Phila by Capn Truxton",,32.0.0,,,,,,,13 February 1794,"Lear, Tobias",32,0,0,,,"By Cash paid for Horizontal Gold Watch for Mrs Washington, with chain, Key &c sent to Philadelphia by Captain Truxton",,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,"By ditto pd for 5,000 white Thornplants Sent to George Town by the Peggy at 9 Stg",,2.5.0,,,,,,,13 February 1794,"Lear, Tobias",2,5,0,,,"By Cash paid for 5,000 white Thornplants Sent to George Town by the Peggy at 9 Sterling",,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,[Total],,£34.5.0,,45,13,4,,,,"Lear, Tobias",34,5,0,,,[Total],,
"Ledger C, 1790 - 1799: pg.4",Credit,Right,,,,Carrd over -,,,£,95,12,7 ½,,,,"Lear, Tobias",95,12,"7,5",,,Carried over -,,
"Ledger C, 1790 - 1799: pg.5",Debit,Left,,,,,,,,,,,,,,"Lear, Tobias",,,,,,,,
"Ledger C, 1790 - 1799: pg.5",Debit,Left,,,,To Amount Brought over,Folo,,£,2973,4,7 ¼,,,,"Lear, Tobias",2973,4,"7,25",,,To Amount Brought over,,
"Ledger C, 1790 - 1799: pg.5",Debit,Left,1795,Decr,,"To 2 Hhds Tobacco delivered you by Colo. Deakins, which had been paid him for Rent due me viz. -",,,,,,,,,December 1795,"Lear, Tobias",,,,,,"To 2 Hogsheads Tobacco delivered you by Colonel Deakins, which had been paid him for Rent due me viz -",,
"Ledger C, 1790 - 1799: pg.5",Debit,Left,,,,1787 nett at 4 Dolls prC,,Dolls. Cts 71.48,,,,,,,December 1795,"Lear, Tobias",,,,71,48,1787 nett at 4 Dollars per cent,,
"Ledger C, 1790 - 1799: pg.5",Debit,Left,,,,2 Casks,,2.[0],,,,,,,December 1795,"Lear, Tobias",,,,2,0,2 Casks,,
"Ledger C, 1790 - 1799: pg.5",Debit,Left,1796,Mch,,To one Dividend (July 1795) on 5. Alexana Bank Shares,,[45.[0]],,,,,,,March 1796,"Lear, Tobias",,,,,,To one Dividend (July 1795) on 5. Alexandria Bank Shares,,
