BK_SOURCE,BK_DEBIT_CREDIT,BK_SOURCE,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_ECONOMIC_UNIT,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_MONEY,BK_ENTRY,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,13,By William Carlin Taylor,,,,5,7,4,,,13 February 1772,Cash,5,7,4,,,By William Carlin Tailor,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Ditto for Mr Custis,47,,,1,7,3,,,13 February 1772,Cash,1,7,3,,,By William Carlin Tailor for Mr Custis,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,18,By Mrs Washington,,,,,18,9,,,18 February 1772,Cash,0,18,9,,,By Mrs Washington,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,21,By Cash pd the Revd Mr Boucher on Acct of Mr Custis,,,,67,14,3,,,21 February 1772,Cash,67,14,3,,,By Cash paid the Reverend Mr Boucher on account of Mr Custis,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,22,By a journeyman Sadler 5 days Work,,,,,12,6,,,22 February 1772,Cash,,12,6,,,By a journeyman Saddler 5 days work,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,24,By Postage paid Mr [William] Ramsay,47,,,1,6,3,,,24 February 1772,Cash,1,6,3,,,By Postage paid Mr William Ramsay,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Cash paid Ditto towards the Support of his Son William at the Jersey Colle.,47,,,25,,,,,24 February 1772,Cash,25,0,0,,,By Cash paid Mr. William Ramsay towards the Support of his Son William at the Jersey College,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,26,By Expences at Colchester,,,,,17,10,,,26 February 1772,Cash,,17,10,,,By Expenses at Colchester,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Ditto at Dumfries,,,,,3,,,,26 February 1772,Cash,,3,,,,By Expenses at Dumfries,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Charity,,,,,6,,,,26 February 1772,Cash,,6,,,,By Charity,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,27,By Expences at Fredericksburg,,,,,8,9,,,27 February 1772,Cash,,8,9,,,By Expenses at Fredericksburg,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,29,By Cash paid my Br. Charles for a pr of Cart Wheels purchas’d for Lowr Q[uarte]r on Rappk,,,,7,,,,,29 February 1772,Cash,7,,,,,By Cash paid my brother Charles for a pair of Cart Wheels purchased for Lower Quarter on Rappahannock,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Ditto advancd my Mother on Acct,45,,,5,0,0,,,February 1772,Cash,5,0,0,,,By Cash advanced my Mother an account,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Exps. at Caroline Ct House,,,,,4,3,,,29 February 1772,Cash,,4,3,,,By Expenses at Caroline Court House,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,March,1,By Ditto at Todds Bridge,,,,,6,7,,,1 March 1772,Cash,,6,7,,,By Expenses at Todds Bridge,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Ferriage at Ruffins,,,,,3,,,,1 March 1772,Cash,,3,,,,By Ferriage at Ruffins,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,2,By Cards,48,,,,8,9,,,2 March 1772,Cash,,8,9,,,By Cards,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Coffee,,,,,2,8,,,2 March 1772,Cash,,2,8,,,By Coffee,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Curry Comb and Brush for Qr below,,,,,3,6,,,2 March 1772,Cash,,3,6,,,By Curry Comb and Brush for Quarter below,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,10,By Servants differt times,,,,,7,6,,,10 March 1772,Cash,,7,6,,,By Servants different times,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,11,By Club at Mrs Campbells in the Eveng,,,,,5,,,,11 March 1772,Cash,,5,,,,By Club at Mrs Campbell's in the Evening,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,12,By Cards,48,,,1,0,0,,,,Cash,1,0,0,,,By Cards,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By a pair of Drawer's,,,,,5,,,,12 March 1772,Cash,,5,,,,By a pair of Drawers,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,13,By Club at Mrs Campbells,,,,,5,,,,13 March 1772,Cash,,5,,,,By Club at Mrs Campbells,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,16,By Cards,,,,3,10,,,,16 March 1772,Cash,3,10,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,17,By Repairg Mr [Hector] Ross’s Pistols,,,,,10,,,,17 March 1772,Cash,,10,,,,By Repairing Mr Hector Ross’s Pistols,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By Club at Mrs Campbells,,,,,5,,,,17 March 1772,Cash,,5,,,,By Club at Mrs Campbells,,
"Ledger B, 1772 - 1793: pg.3",Credit,Right,,,,By amount carrd over,,,£,184,9,3,,,17 March 1772,Cash,184,9,3,,,By amount carried over,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,,,,,,,,,,,,Cash,,,,,,,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,1772,,,To amount brought from the other side,3,,£,£593,3,,,,1772,Cash,593,3,,,,To amount brought from the other side,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,Mar.,18,"To Cash of Colo.  John Tabb, for a Sett of Excha. drawn by Thos Montgomerie on Messrs James Ritchie & Co. Jany 23d 1772. for £200.[0].[0] Sterling @ 20 pr Ct Excha.",21,,,240,,,,,18 March 1772,Cash,240,,,,,"To Cash of Colonel John Tabb, for a Sett of Exchange drawn by Thomas Montgomerie on Messieurs James Ritchie & Company January 23rd, 1772 for £200 Sterling @ 20 percent Exchange",,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,Ditto,Do,"To Ditto of Ditto, for a sett of Excha. drawn by Cumbd Wilson on Colin Dunlop Esqr. & Son & Co. of Glasgow Jany 23d 1772 for £100.[0].[0] Sterg @ 20 pr Ct",21,,,120,,,,,18 March 1772,Cash,120,,,,,"To cash of Colonel John Tabb, for a sett of Exchange drawn by Cumberland Wilson on Colin Dunlop Esquire & Son & Company of Glasgow January 23rd, 1772 for £100 Sterling @ 20 percent",,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,21,To Cash of Colo.  Lewis Burwell,17,,,74,3,,,,21 March 1772,Cash,74,3,,,,To Cash of Colonel Lewis Burwell,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,23,To Colo.  Dudley Digges for Prizes in Yk Lotty,,,,10,,,,,23 March 1772,Cash,10,,,,,To Colonel Dudley Digges for Prizes in York Lottery,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,,To Cards,48,,,2,0,0,,,23 March 1772,Cash,2,0,0,,,To Cards,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,30,To Ditto,48,,,9,10,0,,,30 March 1772,Cash,9,10,0,,,To Cards,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,April,3,To Ditto,48,,,5,15,,,,3 April 1772,Cash,5,15,,,,To Cards,,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,9,"To Cash received from Mr Edwd Charlton by his Wife, for Adam Stewarts Bill upon Collin Dunlop Esqr. & Son & Co. of Glasgow Jany 23d 1772 for £200.[0].[0] Sterg @ 20 pr Ct Excha.",21,,,240,,,,,9 April 1772,Cash,240,0,0,,,"To Cash received from Mr Edward Charlton by his Wife, for Adam Stewarts Bill upon Collin Dunlop Esquire & Son & Company of Glasgow January 23rd, 1772 for £200 Sterling @ 20 percent Exchange.",,
"Ledger B, 1772 - 1793: pg.4",Debit,Left,,,,To amount carried over,,,£,1294,11,0,,,,Cash,1294,11,0,,,To amount carried over,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,,,,,,,,,,,Cash,,,,,,,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,1772,,,By amount brought from the other side,3,,£,£184,9,3,,,1772,Cash,184,9,3,,,By amount brought from the other side,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,March,18,By a pair of Gloves,,,,,2,,,,18 March 1772,Cash,,2,,,,By a pair of Gloves,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Cards,48,,,,15,,,,18 March 1772,Cash,,15,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,19,By Cash paid Thomas Lynch on Acct of Mr Custis’s Estate,,,,1,0,0,,,19 March 1772,Cash,1,0,0,,,By Cash paid Thomas Lynch on account of Mr Custis’s Estate,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,21,By Cards,48,,,,5,,,,21 March 1772,Cash,,5,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Postage of Letters,,,,,4,,,,21 March 1772,Cash,,4,,,,By Postage of Letters,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By a Powder Bag & Puff,,,,,3,3,,,21 March 1772,Cash,,3,3,,,By a Powder Bag & Puff,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By a Mourning Ring for Mr Wm Triplet,29,,,1,10,,,,21 March 1772,Cash,1,10,,,,By a Mourning Ring for Mr William Triplett,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Cards,48,,,6,10,,,,21 March 1772,Cash,6,10,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,22,By Ferriages to Gloucester & Back,,,,,4,,,,22 March 1772,Cash,,4,,,,By Ferriages to Gloucester & Back,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,23,By Expences in York Town,,,,,3,9,,,23 March 1772,Cash,,3,9,,,By Expenses in York Town,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club at Mrs Campbells two Nights,,,,,7,6,,,23 March 1772,Cash,,7,6,,,By Club at Mrs Campbells two Nights,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,24,By Cards,,,,1,17,6,,,24 March 1772,Cash,1,17,6,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club at Anderson’s,,,,,3,9,,,24 March 1772,Cash,0,3,9,,,By Club at Anderson’s,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,25,By Spinet Strings for my Brothr John,12,,,,5,,,,25 March 1772,Cash,,5,,,,By Spinet Strings for my Brother John,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club,,,,,2,6,,,25 March 1772,Cash,,2,6,,,By Club,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,26,By Mounting two Fan's pr Jane Hunter [Charlton],,,,,5,,,,26 March 1772,Cash,,5,,,,By Mounting two Fans per Jane Hunter Charlton,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Postage of Letters,,,,,3,,,,26 March 1772,Cash,,3,,,,By Postage of Letters,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,28,By Club at Mrs Campbells,,,,,3,,,,28 March 1772,Cash,,3,,,,By Club at Mrs Campbell's,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Cards,48,,,6,5,,,,,Cash,6,5,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Charity,,,,,5,,,,28 March 1772,Cash,,5,,,,By Charity,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,30,By George Lafong Barber,,,,1,15,,,,,Cash,1,15,,,,By George Lafong—Barber,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club at Mrs Campbells,,,,,5,,,,30 March 1772,Cash,,5,,,,By Club at Mrs Campbells,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,April—,1,By Cards,48,,,6,10,,,,1 April 1772,Cash,6,10,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club two Nights at Mrs Campbells,,,,,10,,,,1 April 1772,Cash,,10,,,,By Club two Nights at Mrs Campbells,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Postage of Letter,,,,,1,,,,1 April 1772,Cash,,1,,,,By Postage of Letter,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,2,By Cards,48,,,5,0,0,,,2 April 1772,Cash,5,0,0,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club,,,,,7,6,,,2 April 1772,Cash,,7,6,,,By Club,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,3,By Mrs Charlton's Acct against Miss Custis,,,,1,7,6,,,3 April 1772,Cash,1,7,6,,,By Mrs [Jane Hunter] Charltons Account against Miss Custis,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Miss Davenports Acct agt— Do,,,,2,15,3,,,3 April 1772,Cash,2,15,3,,,By Miss Davenport's Account against Miss Custis,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,5,By Charity,,,,1,0,0,,,5 April 1772,Cash,1,0,0,,,By Charity,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,6,By Mr Rind for ye [the] Revd Mr Boucher,49,,,,5,0,,,6 April 1772,Cash,,5,0,,,By Mr William Rind for the Reverend Mr Johnathan Boucher,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Ditto for Colo. Mason,6,,,,3,,,,6 April 1772,Cash,,3,,,,By Mr William Rind for Colonel George Mason,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Messrs Purdie & Dixon for Mr Bouchr,49,,,2,6,,,,6 April 1772,Cash,2,6,,,,By Messieurs Purdie & Dixon for Mr Boucher,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Mr Baker Surgn Dentist,,,,4,0,0,,,6 April 1772,Cash,4,0,0,,,By Mr Baker Surgeon Dentist,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By a Concert Ticket,,,,,6,,,,6 April 1772,Cash,,6,,,,By a Concert Ticket,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club at Mrs Campbells,,,,,5,,,,6 April 1772,Cash,,5,,,,By Club at Mrs Campbells,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Cards,48,,,6,5,,,,6 April 1772,Cash,6,5,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Doctr [William] Pasteur's Acct against Mr Custis,,,,14,11,,,,6 April 1772,Cash,14,11,,,,By Doctor William Pasteur's Account against Mr Custis,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Ditto against self,,,,,8,6,,,6 April 1772,Cash,,8,6,,,By Doctor [William] Pasteur's Account against self,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Mr [William] Prentis’s Acct agt Mr Custis,,,,,16,4,,,6 April 1772,Cash,,16,4,,,By Mr William Prentis’s Account against Mr Custis,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Purdie & Dixon Advertg Meetg Ohio Co.,,,,,3,,,,6 April 1772,Cash,0,3,0,,,By Purdie and Dixon Advertising Meeting Ohio Company,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,7,By Cards,,,,1,5,,,,7 April 1772,Cash,1,5,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Club at Mrs Campbells,,,,,2,,,,7 April 1772,Cash,,2,,,,By Club at Mrs Campbells,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,8,"B[y] Dinners & Clubs thereat, at Mrs Campbells during my Stay in Willmsburg",,,,7,7,6,,,8 April 1772,Cash,7,7,6,,,"By Dinners and Clubs thereat, at Mrs. Campbell's during my Stay in Williamsburg",,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Mrs Charlton’s Acct against Miss Custis,,,,,16,3,,,8 April 1772,Cash,,16,3,,,By Mrs Charlton’s Account against Miss Custis,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Ditto for Mrs Washington,,,,,16,,,,8 April 1772,Cash,0,16,0,,,By Mrs Charlton's Account for Mrs Washington,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Ditto for my Board there since the 1st of March,,,,11,0,0,,,8 April 1772,Cash,11,0,0,,,By Mrs Charlton's Account for my Board there since the 1st of March,,
"Ledger B, 1772 - 1793: pg.4",Credit,Right,,,,By Amount carrd over,,,£,276,10,4,,,8 April 1772,Cash,276,10,4,,,By Amount carried over,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,,,,,,,,,,,,Cash,,,,,,,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,1772,,,To amount brought from the other side,4,,£,1294,11,0,,,1772,Cash,1294,11,0,,,To amount brought from the other side,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,April,26,To Cash receivd from Lund Washington on Acct of Corn Sold,5,,,58,3,6,,,26 April 1772,Cash,58,3,6,,,To Cash received from Lund Washington on Account of Corn Sold,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,,To Ditto Receivd from Thos Bishop for Fish sold,,,,2,5,6,,,26 April 1772,Cash,2,5,6,,,To Cash Received from Thomas Bishop for Fish sold,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,,To Ditto receivd of the Treasury pr Colo.  Bassett,30,,,36,9,3,,,26 April 1772,Cash,36,9,3,,,To Cash received of the Treasury per Colonel Burwell Bassett,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,28,To Ditto recd for Fish,,,,1,12,,,,28 April 1772,Cash,1,12,,,,To Cash received for Fish,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,May,1,To Ditto receivd for Ditto,,,,,18,,,,1 May 1772,Cash,,18,,,,To Cash received for Fish,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,11,To Ditto for Fish 3 M Herrings,,,,,9,,,,11 May 1772,Cash,,9,,,,To cash for Fish 3 M Herrings,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,,To Ditto for Eight thousand Salt Herrings,,,,4,8,,,,11 May 1772,Cash,4,8,,,,To Cash for Eight thousand Salt Herrings,,
"Ledger B, 1772 - 1793: pg.5",Debit,Left,,,,To amount Carrd to folio,50,,£,1398,16,3,,,11 May 1772,Cash,1398,16,3,,,To amount Carried to folio,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,,,,,,,,,,,Cash,,,,,,,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,1772,,,By amount brought from the other side,4,,£,£276,4,,,,1772,Cash,276,4,,,,By amount brought from the other side,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,April,9,By Sundry Play Tickets for myself & others whilst in Town,,,,5,12,6,,,9 April 1772,Cash,5,12,6,,,By Sundry Play Tickets for myself & others whilst in Town,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,Do,By Servants at different times,,,,1,2,0,,,9 April 1772,Cash,1,2,0,,,By Servants at different times,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Expences at Southalls during my own & Servants Stay there,,,,2,12,6,,,9 April 1772,Cash,2,12,6,,,By Expenses at Southall's during my own & Servants Stay there,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Smith Shoeing my Horses,,,,,5,,,,9 April 1772,Cash,,5,,,,By Smith Shoeing my Horses,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,"By Colo. [Edmund] Pendleton for, & on Acct of Jno. West",41,,,2,10,0,,,9 April 1772,Cash,2,10,0,,,"By Colonel Edmund Pendleton for, and on Account of John West",,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Charity,,,,,6,0,,,9 April 1772,Cash,,6,0,,,By Charity,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,10,By Servants,,,,,8,6,,,10 April 1772,Cash,,8,6,,,By Servants,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Ferriage at Ruffins,,,,,3,,,,10 April 1772,Cash,,3,,,,By Ferriage at Ruffins,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Expences at Todds bridge,,,,,4,7,,,10 April 1772,Cash,,4,7,,,By Expenses at Todds bridge,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,11,By Ditto at Hubbards,,,,,6,8,,,11 April 1772,Cash,,6,8,,,By Expenses at Hubbard's,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Cards,48,,,,,,,,11 April 1772,Cash,,,,,,By Cards,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,12,"By Cash left with my Mother, to be given to my Bror Charles, to buy Corn for the upper Quarter on Rappk E: Jones’s",,,,8,,,,,12 April 1772,Cash,8,,,,,"By Cash left with my Mother, to be given to my Brother Charles, to buy Corn for the upper Quarter on Rappahannock East: Jones’s",,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By ferriages at Hunters,,,,,1,6,,,12 April 1772,Cash,,1,6,,,By ferriages at Hunters,,
"Ledger B, 1772 - 1793: pg.5",Credit,Right,,,,By Expences at Dumfries,,,,,5,4,,,12 April 1772,Cash,,5,4,,,By Expenses at Dumfries,,
