BK_SOURCE,BK_DEBIT_CREDIT,Folio Side,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_BETWEEN,BK_MONEY1,BK_MONEY2,BK_MONEY3,$ data,¢ data,BK_ENTRY
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By a Cask White Lead ground into Oyl,,,,,,,,,1754,"Fairfax, George William",,,,,,By a Cask White Lead ground into Oyl
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By 1 Topaz Seal £5:10 Sterlg 50 pr Ct on do £2.15s,,,,8,5,,,,1754,"Fairfax, George William",8,5,,,,By 1 Topaz Seal £5:10 Sterling 50 percent on do £2.15s
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Richd Stephens,,,,2,,,,,1754,"Fairfax, George William",2,,,,,By Richard Stephens
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Cash paid Lovet the New England Man,,,,8,17,6,,,1754,"Fairfax, George William",8,17,6,,,By Cash paid Lovet the New England man
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Ditto paid Rhodam Kennar &ca for Shells,,,,5,17,1 1/2,,,1754,"Fairfax, George William",5,17,"1,5",,,By Cash paid Rhodam Kennar &ca for Shells
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Ditto paid William Lewis for 480 Bushls Do,,,,4,,,,,1754,"Fairfax, George William",4,,,,,By Cash paid William Lewis for 480 Bushels Shells
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Ditto Jno. Winter Painter,,,,3,,,,,1754,"Fairfax, George William",3,,,,,By Cash John Winter Painter
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Ditto pd T: Spears cuttg my Arms 30/ sterg 50 pr Ct 15/,,,,2,5,,,,1754,"Fairfax, George William",2,5,,,,By Cash paid T: Spears cuttg my arms 30/ Sterling 50 percent 15/
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Ditto for a Barrl of Turpentine,,,,,15,,,,1754,"Fairfax, George William",,15,,,,By Cash for a Barrel of Turpentine
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,By Composition and Officer Fees of 183 Acres Land,,,,2,14,1 1/2,,,1754,"Fairfax, George William",2,14,"1,5",,,By Composition and Officer Fees of 183 acres Land
"Ledger A, 1750 - 1772: pg.1",Credit,Right,,,,[Total],,,£,61,14,4 1/2,,,1754,"Fairfax, George William",61,14,"4,5",,,[Total]
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,,,,,,,,,,,"Washington, Augustine",,,,,,
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1749,Decr,9,To paid your Store acct with Mr Humpy Wallace,,,,1,13,,,,9 December 1749,"Washington, Augustine",1,13,,,,To paid your Store account with Mr Humphrey Wallace
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1750,Jany,11th,To Cash paid Mr Lewis for a Baby & 2 dozn Gun Flints,,,,,5,,,,11 January 1750,"Washington, Augustine",,5,,,,To Cash paid Mr Lewis for a Baby & 2 dozen Gun Flints
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,July,8,To Cash,,,,8,12,,,,8 July 1750,"Washington, Augustine",8,12,,,,To Cash
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,To Ditto at Mount Vernon,,,,,12,6,,,,"Washington, Augustine",,12,6,,,To Cash at Mount Vernon
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1755,Jany,,To four pair Negros Shoes @ 5/,,,,1,,,,,January 1755,"Washington, Augustine",1,,,,,To four pair Negros Shoes @ 5/
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,"To Ferriages at Poseys, sendg to Mr Chapmans forye",,,,,4,,,,January 1755,"Washington, Augustine",,4,,,,"To Ferriages at Poseys, sending to Mr Chapmans forye"
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1756,June,26,To Cash at Winchester,,,,4,,,,,26 June 1756,"Washington, Augustine",4,,,,,To Cash at Winchester
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1757,May,13,To Cash in Williamsburg,,,,109,,,,,13 May 1757,"Washington, Augustine",109,,,,,To Cash in Williamsburg
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,To Cash sent you to pay for ye [the] Publishg an answer to ye [the] 10th Centinal which was never p'd,,,,,10,,,,,"Washington, Augustine",,10,,,,To Cash sent you to pay for ye [the] Publishing an answer to ye [the] 10th Centinal which was never paid
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1760,Octr,,"To the Printg Office, chargd in my Acct for Advertiseing a Runaway Negroe",,,,,7,,,,October 1760,"Washington, Augustine",,7,,,,"To the Printing Office, charged in my Account for advertising a Runaway Negroe"
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1763,Octr,1,To Cash lent Mrs Ann Washington (his Widow),,,,1,5,,,,1 October 1763,"Washington, Augustine",1,5,,,,To Cash lent Mrs Ann Washington (his Widow)
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,2,To Do paid Mr Chs Digges's Acct for his Estate,,,,2,9,10,,,2 October 1763,"Washington, Augustine",2,9,10,,,To Cash paid Mr Charles Digges's Account for his Estate
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,[Total],,,£,129,18,4,,,,"Washington, Augustine",129,18,4,,,[Total]
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1765,Jany,1,To Balle pr Contra,,,,8,17,4,,,1 January 1765,"Washington, Augustine",8,17,4,,,To Balance per Contra
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1766,July,,To Cash paid for 2 1/2 yds Swanskin @ 2/6,,,,,6,3,,,July 1766,"Washington, Augustine",,6,3,,,To Cash paid for 2 1/2 yards Swanskin @ 2/6
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,To Do pd for 1 Black Jack,,,,,3,0,,,July 1766,"Washington, Augustine",,3,0,,,To Cash paid for 1 Black Jack
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,Octr,,To 1 Quartr Cask of Lisbon Wine of Adam,,,,8,0,0,,,October 1766,"Washington, Augustine",8,0,0,,,To 1 Quarter Cask of Lisbon Wine of Adam
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,Novr,,To 3 pr stone Earings of Mr Craig @ 22/6,,,,3,7,6,,,November 1766,"Washington, Augustine",3,7,6,,,To 3 pair stone Earings of Mr Craig @ 22/6
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,Decr,,To 1 pr French Curls of—Godfrey,,,,1,0,0,,,December 1766,"Washington, Augustine",1,0,0,,,To 1 pair French Curls of—Godssey
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1767,,,To 2 Spinning Wheels of James Wren @ 16/,,,,1,12,0,,,May 1767,"Washington, Augustine",1,12,0,,,To 2 Spinning Wheels of James Wren @ 16/
"Ledger A, 1750 - 1772: pg.2",Debit,Left,,,,[Total],,,£,23,6,1,,,1767,"Washington, Augustine",23,6,1,,,[Total]
"Ledger A, 1750 - 1772: pg.2",Debit,Left,1768,May,,To Balle due pr Contra,,,,11,9,2 1/2,,,May 1768,"Washington, Augustine",11,9,"2,5",,,To Balance due per Contra
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,,,,,,,,,,,"Washington, Augustine",,,,,,
"Ledger A, 1750 - 1772: pg.2",Credit,Right,1749,Decr,11,By one pair Leather Breeches,,,,1,15,,,,11 December 1749,"Washington, Augustine",1,15,,,,By one pair Leather Breeches
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,June,24,By Cash,,,,1,1,6,,,24 June 1749,"Washington, Augustine",1,1,6,,,By Cash
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,29,By Ditto,,,,8,12,,,,29 June 1749,"Washington, Augustine",8,12,,,,By Cash
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,July,6,By Ditto at Mr Boothes,,,,,12,6,,,6 July 1749,"Washington, Augustine",,12,6,,,By Cash at Mr Boothes
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,By Feathers bought for me,,,,,,,,,6 July 1749,"Washington, Augustine",,,,,,By Feathers bought for me
"Ledger A, 1750 - 1772: pg.2",Credit,Right,1757,May,2,By Cash in Williamsburg £6 Ditto in Ditto £3,,,,9,,,,,2 May 1757,"Washington, Augustine",9,,,,,By Cash in Williamsburg £6 Cash in Williamsburg £3
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,By Ditto in Ditto,,,,100,,,,,2 May 1757,"Washington, Augustine",100,,,,,By Cash in Williamsburg
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,By Balle (no allowance for Feathrs) due GW,,,,8,17,4,,,2 May 1757,"Washington, Augustine",8,17,4,,,By Balance (no allowance for Feathers) due George Washington
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,[Total],,,,129,18,4,,,1757,"Washington, Augustine",129,18,4,,,[Total]
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,[Total],,,£,129,18,4,,,1757,"Washington, Augustine",129,18,4,,,[Total]
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,By the above Feathers viz. 125 1/2 lbs. @ 1/3,,,,7,16,10 1/2,,,,"Washington, Augustine",7,16,"10,5",,,By the above Feathers viz. 125 1/2 pounds @ 1/3
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,By Cash of Mrs Washington,,,,4,0,0,,,,"Washington, Augustine",4,0,0,,,By Cash of Mrs Washington
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,[Total],,,,11,16,10 1/2,,,,"Washington, Augustine",11,16,"10,5",,,[Total]
"Ledger A, 1750 - 1772: pg.2",Credit,Right,1768,May,,By Balle due G. W.—n & chd pr Contra,,,,11,9,2 1/2,,,February 1768,"Washington, Augustine",11,9,"2,5",,,By Balance due George Washington & charged per Contra
"Ledger A, 1750 - 1772: pg.2",Credit,Right,,,,[Total],,,£,23,6,1,,,1768,"Washington, Augustine",23,6,1,,,[Total]
"Ledger A, 1750 - 1772: pg.2",Credit,Right,1768,Novr,21,By Cash recd of Mrs Ann Washington pr my Br. John Washington,,,,11,9,3,,,21 November 1768,"Washington, Augustine",11,9,3,,,By Cash received of Mrs Ann Washington per my Brother John Washington
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1750,Novr,12th,"To Surveying 316 Acres of Land, and a Warrt for Do",,,,3,1,9,,,12 November 1750,,,,,,,"To Surveying 316 Acres of Land, and a Warrant for Do"
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1752,Mar:,10,To Cash receivd of John Garner for Rent of 1751,,,,1,1,6,,,10 March 1752,,,,,,,To Cash received of John Garner for Rent of 1751
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,Octr,28,To Ditto to pay for Corn,,,,1,11,3,,,28 October 1752,,,,,,,To Cash to pay for Corn
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1753,Jany,15,To 1 pistole,,,,1,1,6,,,15 January 1753,,,,,,,To 1 pistole
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,To Captn John Hardin,,,,,18,9,,,15 January 1753,,,,,,,To Captain John Hardin
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,18,To your Bill to Captn Johnston,,,,10,6,,,,18 January 1753,,,,,,,To your Bill to Captain Johnston
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,Augt,18,To Cash,,,,3,14,7,,,18 August 1753,,,,,,,To Cash
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,To Ditto from my Brother John,,,,3,,,,,18 August 1753,"Washington, John Augustine",,,,,,To Cash from my Brother John
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1755,Septr,25,To Ditto from Ditto,,,,1,1,6,,,25 September 1755,"Washington, George Augustine",,,,,,To Cash from my Brother John
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,May,,To Ditto at Winchester,,,,3,15,,,,May 1756,,,,,,,To Cash at Winchester
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,Augt,11,To Ditto by the hands of my Brother John,,,,,1,3,,,11 August 1756,"Washington, John Augustine",,,,,,To Cash by the hands of my Brother John
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1757,July,5,To Ditto lent you at Winchester,,,,4,10,,,,5 July 1757,,,,,,,To Cash lent you at Winchester
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,28,To Ditto to Mr Wm Crawford by ye [the] Desire,,,,3,,,,,28 July 1757,,,,,,,To Cash to Mr William Crawford by ye [the] Desire
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,Augt,1,To Ditto to you,,,,20,15,9,,,1 August 1757,,,,,,,To Cash to you
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,21,To Ditto to Ditto,,,,2,2,6,,,21 August 1757,,,,,,,To Cash to you
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,To Ditto to discharge a Soldr,,,,,11,6,,,21 August 1757,,,,,,,To Cash to discharge a Soldier
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,To Waggoning and Smiths Work,,,,2,14,6,,,21 August 1757,,,,,,,To Waggoning and Smiths Work
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1758,June,23d,To Cash in full to the date,,,,14,16,5,,,23 June 1758,,,,,,,To Cash in full to the date
"Ledger A, 1750 - 1772: pg.3",,Left,,,,[Total],,,£,78,3,9,,,1758,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1759,June,14,To Cash sent you by Wm Jenkins,,,,10,12,6,,,14 June 1759,,,,,,,To Cash sent you by William Jenkins
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1760,Jany,,To acct brought from Smiths Book,,,,,11,,,,January 1760,,,,,,,To account brought from Smiths Book
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,May,9,To Cash paid you this day,,,,4,16,,,,9 May,,,,,,,To Cash paid you this day
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,Augt,6,To Ditto,,,,2,10,,,,6 August,,,,,,,To Cash
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1762,Octr,5& 6,To Ditto in full of all accts to ye [the] date £16.2s.6d & £6.9s.0,,,,22,11,10,,,5 October 1762,,,,,,,To Cash in full of all accounts to ye [the] date £16.2s.6d & £6.9s.0
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,[Total],,,£,41,1,4,,,1762,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1763,June,28,To 1 Grindstone weight 195 lbs,,,,,10,,,,28 June 1763,,,,,,,To 1 Grindstone weight 195 pounds
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,To Cash,,,,2,2,6,,,28 June 1763,,,,,,,To Cash
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,[Total],,,£,2,12,6,,,1763,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",Debit,Left,1765,Jany,1,To Balle due pr Contra,,,,,10,,,,1 January 1765,,,,,,,To Balance due per Contra
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,To a Negro named Fortune sold him in 1763 for,,,,70,0,0,,,1 January 1765,,,,,,,To a Negro named Fortune sold him in 1763 for
"Ledger A, 1750 - 1772: pg.3",Debit,Left,,,,[Total],,,£,70,10,,,,1765,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1750,Novr,13,By Cash,,,,6,8,,,,13 November 1750,,,,,,,By Cash
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1751,March,,By Ditto,,,,2,15,1,,,March 1751,,,,,,,By Cash
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By Corn of ____ Copesbrick,,,,1,11,3,,,,,,,,,,By Corn of ____ Copesbrick
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1753,January,,By the Widow McGee's Acct,,,,,7,,,,January 1753,,,,,,,By the Widow McGee's Account
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By Sturmans Ditto,,,,,2,1,,,,,,,,,,By Sturmans Account
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By Wilson a Taylor's Ditto,,,,,2,6,,,,,,,,,,By Wilson a Taylor's Account
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1757,Augt,1,By Cash recd of ye [the] Comy for 2486 lbs. of Flour @ 10/,,,,12,8,6,,,1 August 1757,,,,,,,By Cash received of ye [the] Comy for 2486 pounds of Flour @ 10/
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By Ditto of Ditto for 3521 of Do @ 9/,,,,15,17,3,,,,,,,,,,By Cash of ye [the] Comy for 3521 of Flour @ 9/
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,July,1st,By 1130 1/2 of Iron at 25/ prCt,,,,12,12,7 1/2,,,1 July,,,,,,,By 1130 1/2 of Iron at 25/ percent
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1758,July,,By Butter at Sundry times 287 lb. @ 6d,,,,7,3,6,,,July 1758,,,,,,,By Butter at Sundry times 287 pound @ 6d
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By a Servant Man bot in 1752,,,,15,,,,,,,,,,,,By a Servant Man bought in 1752
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,June,23d,By Sundries to this date,,,,9,17,3 1/2,,,23 June,,,,,,,By Sundries to this date
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,[Total],,,,78,3,9,,,1758,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1758,June,23d,"NB This acct was settled according to this date and the Ballance viz. £14.16. paid of Go: Washington
Test. Thos: Bishop Richard Stephenson his Mark.",,,,,,,,,23 June 1758,,,,,,,"NB This account was settled according to this date and the Balance viz. £14.16.5 paid of George Washington
Test. Thomas Bishop Richard Stephenson his Mark."
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1759,June,12,By Cash Recd of ye [the] Treasury for ye [the] Servt Enlistd,,,,10,12,6,,,12 June 1759,,,,,,,By Cash Received of ye [the] Treasury for ye [the] Servant Enlisted
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By Butter Liquor Iron &ca to the date,,,,30,8,10,,,1759,,,,,,,By Butter Liquor Iron &ca to the date
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,[Total],,,£,41,1,4,,,,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,Novr,,By 1 Firkin of Butter gross-weight 97 lbs. 12 T[are]. 85 Net @ 6d,,,,2,2,6,,,November,,,,,,,By 1 Firkin of Butter gross-weight 97 pounds 12 T[are]. 85 Net @ 6d
